N;wide_area;narrow_area;wide_rel_error;narrow_rel_error;exact_area
88600;0.964511;0.943933;2.11687;0.061807;0.944517
89100;0.94786;0.942074;0.353951;0.258722;0.944517
89600;0.935844;0.94329;0.9183;0.129967;0.944517
90100;0.941009;0.94205;0.37144;0.261158;0.944517
90600;0.954058;0.941749;1.01009;0.293032;0.944517
91100;0.948181;0.943675;0.38791;0.0892151;0.944517
91600;0.932074;0.945579;1.31746;0.112377;0.944517
92100;0.959103;0.94339;1.54428;0.119304;0.944517
92600;0.946575;0.945667;0.217894;0.121719;0.944517
93100;0.950785;0.941528;0.663639;0.316485;0.944517
93600;0.953912;0.943202;0.994653;0.139196;0.944517
94100;0.937479;0.944992;0.745202;0.0502737;0.944517
94600;0.951536;0.940909;0.743099;0.382004;0.944517
95100;0.93447;0.942718;1.06373;0.190467;0.944517
95600;0.944227;0.945581;0.030764;0.112582;0.944517
96100;0.942349;0.945994;0.229573;0.156331;0.944517
96600;0.942;0.94256;0.266496;0.207266;0.944517
97100;0.94576;0.943525;0.13158;0.105077;0.944517
97600;0.949979;0.941778;0.578307;0.290045;0.944517
98100;0.944642;0.947974;0.0132139;0.365988;0.944517
98600;0.9576;0.946311;1.3851;0.189903;0.944517
99100;0.932265;0.94551;1.29721;0.10507;0.944517
99600;0.933344;0.943524;1.18298;0.105143;0.944517
100000;0.938943;0.944538;0.590118;0.00215074;0.944517
