ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
19600;8049;4092;3261;2787;2786;2447;2179
19700;8143;3903;3273;2972;2856;2454;2230
19800;7955;3999;3274;2791;2876;2461;2214
19900;7948;4095;3293;2850;2831;2468;2216
20000;8020;4013;3308;2836;2934;2498;2247
20100;8021;4026;3323;2882;2857;2501;2248
20200;8071;4054;3345;2856;2871;2570;2252
20300;8156;4047;3330;2874;2881;2565;2289
20400;8190;4052;3400;2886;2895;2542;2284
20500;8196;4088;3384;2907;2891;2534;2307
20600;8288;4116;3430;3012;2924;2599;2309
20700;8289;4209;3484;3062;2994;2563;2337
20800;8301;4263;3569;3126;2943;2567;2318
20900;8730;4265;3581;3357;3020;2598;2318
21000;8429;4330;3654;3219;2998;2655;2362
21100;8514;4379;3735;3303;2999;2659;2351
21200;8453;4445;3731;3368;3040;2671;2360
21300;8549;4496;3776;3396;3041;2662;2401
21400;8662;4952;3858;3725;3001;2688;2414
21500;8642;4583;3901;3494;3055;2677;2404
21600;9056;4655;3937;3552;3051;2779;2457
21700;8730;4647;4071;3575;3054;2698;2426
21800;8756;4648;4076;3580;3074;2729;2416
21900;8807;4798;4130;3589;3109;2762;2454
22000;8865;4790;4137;3596;3117;2733;2464
22100;9000;4844;4226;3639;3118;2779;2762
22200;8905;4862;4256;3703;3159;2796;2462
22300;9047;5185;4274;3653;3121;2779;2491
22400;9035;4913;4361;3665;3142;2791;2520
22500;9020;5034;4359;3672;3157;2806;2522
22600;9108;5022;4395;3651;3192;2799;2576
22700;9156;5063;4448;3673;3187;2816;2568
22800;9328;5126;4432;3696;3271;2863;2554
22900;9180;5153;4924;3764;3249;2863;2554
23000;9231;5189;4456;3746;3236;2846;2569
23100;9300;5243;4521;3741;3225;2890;2604
23200;9419;5272;4474;3797;3246;2883;2594
23300;9504;5349;4494;3807;3265;2885;2611
23400;9429;5380;4598;3763;3284;2919;2610
23500;9461;5451;4547;3819;3335;2919;2684
23600;9514;5478;4562;3788;3293;2934;2654
23700;9508;5490;4677;3820;3398;2966;2639
23800;9664;5547;4550;3884;3364;2948;2635
23900;9616;5672;4620;3857;3364;2943;2679
24000;9704;5631;4729;3880;3401;3041;2688
24100;11829;6252;5327;4035;3716;3053;2704
24200;9757;5724;4691;3881;3753;2988;2963
24300;9721;5820;4698;3966;3415;3034;2788
24400;9781;5831;4683;4011;3441;3141;2757
24500;9813;5819;4629;3928;3419;3049;2736
24600;9880;5837;4698;3951;3645;3111;2733
24700;9972;5983;4669;4034;3465;3052;2748
24800;9978;5901;4783;3961;3468;3120;2783
24900;10026;5931;4718;4106;3492;3091;2832
25000;10069;6031;4732;4021;3483;3189;2846
25100;10233;5991;4814;4064;3533;3105;2820
25200;10152;5989;4790;4013;3512;3139;2872
25300;10198;6001;4829;4044;3519;3136;2868
25400;10344;6072;4852;4069;3527;3162;2884
25500;10272;6088;4856;4059;3593;3165;2834
25600;10277;6097;4859;4076;3546;3147;2874
25700;10427;6079;4910;4121;3641;3255;3111
25800;10470;6183;4925;4125;3586;3648;3131
25900;10507;6166;5001;4155;3637;3492;3205
26000;10516;6142;4964;4174;3643;3547;3232
26100;10588;6238;4983;4166;3668;3878;3656
26200;10559;6230;4951;4201;3667;3754;3267
26300;10686;6256;4945;4237;3656;3656;3274
26400;10650;6265;4987;4204;3687;3696;3285
26500;10720;6259;4969;4231;3678;3669;3335
26600;10764;6238;4996;4240;3695;3694;3320
26700;10825;6329;5060;4256;3738;3702;3307
